Model,R-squared ($R^2$),Mean Absolute Error (MAE),Root Mean Squared Error (RMSE)
Linear Regression,0.1358959414708829,11.69904971748522,24.460480515294694
Random Forest,0.08412510285896357,10.451789556962023,25.182569413853948
XGBoost,0.0662996245066706,11.042024762683727,25.426449979893174
