Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Pathaan,2023,Hindi,57,Yash Raj Films,25-01-2023,"Action, Thriller",Siddharth Anand,146
The Sky Is Pink,2019,Hindi,2.5,"RSVP, Roy Kapur Films, Purple Pebble Pictures",11-10-2019,"Family, Drama",Shonali Bose,149
Bhool Bhulaiyaa 3,2024,Hindi,36.6,T-Series Super Cassettes Industries Ltd.,01-11-2024,"Horror, Comedy",Anees Bazmee,158
The Lady Killer,2023,Hindi,0.003,"T-Series Super Cassettes Industries Ltd., Karma Media Entertainment",03-11-2023,"Crime, Thriller",Ajay Bahl,125
Monsoon Shootout,2017,Hindi,0.6,"DAR Motion Pictures, Sikhya Entertainment",14-11-2017,Thriller,Amit Kumar,88
Vodka Diaries,2018,Hindi,0.3,"K'Scope Entertainment Pvt. Ltd, Vishalraj Films And Production Pvt. Ltd.",19-01-2018,Drama,Kushal Shrivastav,117
Genius,2018,Hindi,0.65,"Soham Rockstar Entertainment, Anil Sharma Productions",24-08-2018,Drama,Anil Sharma,164
Rocket Gang,2022,Hindi,0.25,Zee Studios,11-11-2022,"Dance, Children",Bosco Martis,139
Shaadi Teri Bajayenge Hum Band,2018,Hindi,0.12,Rangrezza Films,23-03-2018,Comedy,Gurpreet Sondh,135
The Final Exit,2017,Hindi,0.1,Mars Entertainment,22-09-2017,"Drama, Horror",Dhwanil Mehta,119
Badhaai Do,2022,Hindi,1.65,"Junglee Pictures, Zee Studios",11-02-2022,"Romance, Comedy",Harshavardhan Kulkarni,147
Kill,2024,Hindi,1.35,"Dharma Productions, Sikhya Entertainment, LionsGate Entertainment, Roadside Attractions",05-07-2024,"Action, Thriller",Nikhil Nagesh Bhat,106
Dil Juunglee,2018,Hindi,0.35,Pooja Entertainment India Ltd.,09-03-2018,Comedy,Aleya Sen,124
Hamare Baarah,2024,Hindi,0.17,"Radhika Films, Newtech Media Entertainment",21-06-2024,"Social, Drama",Kamal Chandra,148
Baadshaho,2017,Hindi,12.6,"T-Series Super Cassettes Industries Ltd., Milan Luthria Films Pvt Ltd, Vertex Motion Pictures Pvt. Ltd",01-09-2017,"Action, Thriller",Milan Luthria,136
Pink,2016,Hindi,4.32,"Rising Sun Films Production, Rashmi Sharma Films",16-09-2016,"Social, Drama",Aniruddha Roy Chowdhury,136
Bhanwarey,2017,Hindi,0.001,"Screenshot Media & Entertainment, Sudha Creations",24-03-2017,"Comedy, Drama",Shaurya Singh,120
Dhak Dhak,2023,Hindi,0.8,"Viacom 18 Motion Pictures, Outsider Flims Productions, BLM Pictures",13-10-2023,"Adventure, Drama",Tarun Dudeja,140
Gurgaon,2017,Hindi,0.46,"M R Filmworks, Hashstag Film Studios, Jar Pictures",04-08-2017,"Drama, Crime",Shankar Raman,107
Battalion 609,2019,Hindi,0.01,"N.J. Lalwani Films, BIG Curtains Media Pvt. Ltd",11-01-2019,"Action, Drama",Brijesh Batuknath Tripathi,142
A Gentleman,2017,Hindi,4.04,Fox Star Studios,25-08-2017,"Action, Thriller","Krishna DK, Raj Nidimoru",132
Article 15,2019,Hindi,5.02,"Benaras Media Works Production, Zee Studios",28-06-2019,"Thriller, Crime, Drama, Social",Anubhav Sinha,130
Jaat,2025,Hindi,9.62,"Mythri Movie Makers, People Media Factory",10-04-2025,"Action, Drama",Gopichand Malineni,153
Bachchhan Paandey,2022,Hindi,13.25,"Nadiadwala Grandson Entertainment, Zee Studios",18-03-2022,"Action, Comedy",Farhad Samji,149
Ye Mard Bechara,2021,Hindi,0.04,"2idiot Films, Raw Entertainment",19-11-2021,"Comedy, Drama",Anuup Thapa,134
Gangubai Kathiawadi,2022,Hindi,10.5,"Sanjay Leela Bhansali Films, Pen India Ltd.",25-02-2022,"Biographical, Drama",Sanjay Leela Bhansali,156
India's Most Wanted,2019,Hindi,2.1,"Fox Star Studios, Raapchik Films",24-05-2019,Thriller,Rajkumar Gupta,125
Kapkapiii,2025,Hindi,0.2,"Bravo Entertainment, Zee Studios",23-05-2025,"Horror, Comedy",Sangeeth Sivan,140
Jalebi,2018,Hindi,0.5,Vishesh Films,12-10-2018,"Drama, Romance",Pushpdeep Bhardwaj,112
Article 370,2024,Hindi,6.12,"Jio Studios, B62 Studios",23-02-2024,"Action, Patriotic",Aditya Suhas Jambhale,156
Dashmi,2024,Hindi,0.05,3S Movies,16-02-2024,"Thriller, Drama",Shantanu Anant Tambe,0
Fever,2016,Hindi,0.01,"Niche Film Farm, Jaya Sapthagiri Production, Plus Entertainment Pvt. Ltd., ICM Entertainment Production",05-08-2016,"Romance, Thriller",Rajeev Jhaveri,127
Rangoon,2017,Hindi,5.05,"Viacom 18 Motion Pictures, Nadiadwala Grandson Entertainment, Vishal Bhardwaj Pictures Pvt Ltd",24-02-2017,"Drama, Action, Romance",Vishal Bhardwaj,167
A Scandall,2016,Hindi,0.06,Let's Ring The Bell Productions,24-06-2016,Thriller,Ishan Shrivedi,112
Aakhir Kab Tak,2016,Hindi,0.01,P.N.J Films,14-10-2016,Drama,Mithilesh Avinash,108
Naam Shabana,2017,Hindi,5.12,"Plan C Studios, KriArj Entertainment, Cape of Good Films, Reliance Entertainment, A Friday Filmworks",31-03-2017,"Action, Thriller",Shivam Nair,148
Shubh Mangal Saavdhan,2017,Hindi,2.71,"Eros International, Colour Yellow Production",01-09-2017,"Comedy, Romance",R.S. Prasanna,105
Thank God,2022,Hindi,8.1,"T-Series Super Cassettes Industries Ltd., Maruti International",25-10-2022,"Comedy, Drama",Indra Kumar,121
Badrinath Ki Dulhania,2017,Hindi,12.25,"Fox Star Studios, Dharma Productions",10-03-2017,"Romance, Comedy",Shashank Khaitan,139
Qarib Qarib Singlle,2017,Hindi,1.75,Zee Studios,10-11-2017,Drama,Tanuja Chandra,125
Batti Gul Meter Chalu,2018,Hindi,6.5,"T-Series Super Cassettes Industries Ltd., Krti Pictures LLP",21-09-2018,"Drama, Social",Shree Narayan Singh,175
Shab,2017,Hindi,0.18,"Anticlock Films, WSG Pictures",14-07-2017,Thriller,Onir,108
Shehzada,2023,Hindi,0.95,"T-Series, Brat Films, Allu Entertainment",17-02-2023,"Action, Comedy, Drama, Romance",Rohit Dhawan,142
Kadvi Hawa,2017,Hindi,0.04,"Drishyam Films, Eros International",24-11-2017,Drama,Nila Madhab Panda,99
Nikita Roy,2025,Hindi,0.19,"Nicky Vicky Bhagnani Films, Kratos Entertainment, Nikita Pai Films",18-07-2025,"Horror, Thriller",Kussh S Sinha,116
Fan,2016,Hindi,19.2,Yash Raj Films,15-04-2016,"Action, Drama",Maneesh Sharma,142
Matto Ki Saikil,2022,Hindi,0.1,Shivdeva Films,16-09-2022,"Social, Drama",M. Gani,95
Pushtaini,2024,Hindi,0.05,"Lotus Dust Pictures, Vinraw Films",21-06-2024,"Comedy, Drama",Vinod Rawat,90
Satellite Shankar,2019,Hindi,0.1,"T-Series Super Cassettes Industries Ltd., Cine1 Studios Production",08-11-2019,"Action, Drama, Family, Patriotic",Irfan Kamal,134
Saand Ki Aankh,2019,Hindi,0.48,Reliance Entertainment,25-10-2019,"Drama, Action, Biographical",Tushar Hiranandani,146
One Day: Justice Delivered,2019,Hindi,0.1,"D Neev Films, A Cinema Friday International, Netrix Entertainment",05-07-2019,"Crime, Thriller",Ashok Nanda,124
Jagga Jasoos,2017,Hindi,8.57,"Walt Disney Pictures, Picture Shuru Productions",14-07-2017,"Comedy, Thriller",Anurag Basu,161
Luv You Shankar,2024,Hindi,0.04,"SD World Film Production, Jumping Tomato Studio",19-04-2024,"Mythological, Drama",Rajiv S. Ruia,117
Savi,2024,Hindi,2.05,"T-Series Super Cassettes Industries Ltd., Vishesh Films, Mishty Productions",31-05-2024,"Crime, Thriller",Abhinay Deo,126
Khel Toh Ab Shuru Hoga,2016,Hindi,0.03,"GMD Films, Batra Showbiz",13-05-2016,Drama,Kunal V Singh,130
Judaa Hoke Bhi,2022,Hindi,0.25,K Sera Sera,15-07-2022,"Drama, Romance",Vikram Bhatt,118
Bhavesh Joshi Superhero,2018,Hindi,0.3,"Eros International, Phantom Films, Reliance Entertainment",01-06-2018,"Drama, Action, Social",Vikramaditya Motwane,155
Junglee,2019,Hindi,1.75,Sobodh Mukherjee Prod,29-03-2019,"Comedy, Musical, Romance",Subodh Mukherjee,115
Sooryavanshi,2021,Hindi,26.29,"Dharma Productions, Cape of Good Films, Reliance Entertainment, Rohit Shetty Picturez",05-11-2021,"Action, Thriller",Rohit Shetty,145
Ghoomer,2023,Hindi,0.8,"Saraswati Entertainment Private Limited, Hope Film Makers",18-08-2023,"Sports, Drama",R. Balki,134
Batla House,2019,Hindi,14,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd, JA Entertainment Pvt. Ltd., Bake My Cake Film Production",15-08-2019,"Action, Crime, Drama, Thriller",Nikkhil Advani,146
Khandaani Shafakhana,2019,Hindi,0.75,T-Series Super Cassettes Industries Ltd.,02-08-2019,Drama,Shilpi Dasgupta,137
Middle Class Love,2022,Hindi,0.5,"Benaras Media Works Production, Zee Studios",16-09-2022,"Romance, Comedy",Ratnaa Sinha,130
Aksar 2,2017,Hindi,0.8,Siddhi Vinayak Creations,17-11-2017,"Drama, Thriller",Ananth Narayan Mahadevan,115
Ajab Singh Ki Gajab Kahani,2017,Hindi,0.04,"Shree Triveni Films International, An India E-Commerce Ltd.",21-04-2017,"Drama, Biographical",Rishi Prakash Mishra,114
Meri Pyaari Bindu,2017,Hindi,1.75,Yash Raj Films,12-05-2017,"Romance, Drama",Akshay Roy,119
Baaghi 2,2018,Hindi,25.1,"Benetone Films, Fox Star Studios, Nadiadwala Grandson Entertainment",30-03-2018,"Action, Drama",Ahmed Khan,145
Swatantrya Veer Savarkar,2024,Hindi,1.1,"Legend Global Studios, Randeep Hooda Films",22-03-2024,"Biographical, Patriotic",Randeep Hooda,178
Direct Ishq,2016,Hindi,0.11,Baba Motion Pictures,19-02-2016,"Comedy, Romance",Rajiv S. Ruia,130
War 2,2025,Hindi,29,Yash Raj Films,14-08-2025,"Action, Thriller",Ayan Mukerji,179
Maa,2025,Hindi,10.43,Bombay Talkies,27-06-2025,Drama,Bimabl Ropay,133
Harami,2021,Hindi,10.43,Gobsmack Entertainment,24-10-2021,Drama,Shyam Madiraju,100
Baaghi 4,2025,Hindi,13.2,Nadiadwala Grandson Entertainment,05-09-2025,"Action, Romance",A. Harsha,163
Param Sundari,2025,Hindi,7.37,Maddock Films,29-08-2025,"Romance, Comedy",Tushar Jalota,136
Son of Sardaar 2,2025,Hindi,7.5,"Ajay Devgn Films, Jio Studios",01-08-2025,"Comedy, Action",Vijay Kumar Arora,147
Dear Zindagi,2016,Hindi,8.75,"Dharma Productions, Red Chillies Entertainment, Hope Productions",25-11-2016,Drama,Gauri Shinde,151
Jawan,2023,Hindi,75,Red Chillies Entertainment,07-09-2023,"Action, Thriller",Atlee Kumar,169
Tumbbad,2018,Hindi,0.65,"Eros International Media Ltd, Colour Yellow Production, A Little Town Films Production",12-10-2018,"Horror, Thriller",Rahi Anil Barve,113
Singham Again,2024,Hindi,43.7,"Jio Studios, Rohit Shetty Productions",01-11-2024,"Action, Drama",Rohit Shetty,144
Sunny Sanskari Ki Tulsi Kumari,2025,Hindi,10.11,"Dharma Productions, Mentor Disciple Film",02-10-2025,"Romance, Comedy",Shashank Khaitan,136
Deva,2025,Hindi,5.78,"Zee Studios, Roy Kapur Films",31-01-2025,"Action, Thriller",Rosshan Andrrews,156
Uri: The Surgical Strike,2019,Hindi,138.1383,RSVP Movies,02-08-2019,"Action, Drama, War",Aditya Dhar,138
Gang of Littles,2016,Hindi,0.0005,PNA Entertainment,16-12-2016,Drama,Vijay Kumar Mishra,110
Teri Baaton Mein Aisa Uljha Jiya,2024,Hindi,7.02,"Maddock Films, Jio Studios",09-02-2024,"Romance, Drama","Amit Joshi, Aradhana Sah",143
Khichdi 2: Mission Paanthukistan,2023,Hindi,1.1,Hats Off Productions,17-11-2023,"Comedy, Family",Aatish Kapadia,122
Bade Miyan Chote Miyan,2024,Hindi,16.07,"Pooja Entertainment India Ltd., AAZ Films",11-04-2024,"Action, Thriller",Ali Abbas Zafar,164
Stree 2,2024,Hindi,46,"Maddock Films, Jio Studios",15-08-2024,"Horror, Comedy",V Shantaram,143
Madgaon Express,2024,Hindi,1.63,Excel Entertainment,22-03-2024,"Comedy, Drama",Kunal Kemmu,144
Samrat Prithviraj,2022,Hindi,10.7,Yash Raj Films,03-06-2022,"Historical, Patriotic",Dr. Chandraprakash Dwivedi,133
Karwaan,2018,Hindi,1.6,"Ishka Films, RSVP",03-08-2018,Drama,Akarsh Khurana,120
Murderbaad,2025,Hindi,0.05,"Reliance Entertainment, Acjee Entertainment",18-07-2025,"Crime, Drama",Arnab Chatterjee,153
Shaitaan,2024,Hindi,15.21,"Ajay Devgn FFilms, Panorama Studios, Jio Studios",08-03-2024,"Thriller, Horror",Vikas Bahl,132
Ginny Weds Sunny,2020,Hindi,125.1253,Soundrya Productions,09-10-2020,"Comedy, Romance",Puneet Khanna,125
Transistor,2021,Hindi,10.43,Arr̩ Studio,30-07-2021,Romance,Prem Singh,25
Aap Jaisa Koi,2025,Hindi,0.92,Dharma Productions,11-07-2025,"Romance, Comedy",Vivek Soni,115
Stree,2018,Hindi,6.82,Radio Sound Pictures,31-08-2018,"Horror, Comedy",Saki,128
Raees,2017,Hindi,143.1433,Ballet Pictures,25-01-2017,"Thriller, Action, Crime",Qaisar Sabhai,143
Dange,2024,Hindi,0.15,"T-Series Super Cassettes Industries Ltd., Getaway Pictures, Roox Media",01-03-2024,"Action, Drama",Bejoy Nambiar,150
Ek Chatur Naar,2025,Hindi,0.5,Drama Company,12-09-2025,Thriller,Sumit Roy King,134
Satyaprem Ki Katha,2023,Hindi,9.25,"Nadiadwala Grandson Entertainment, Namah Pictures",29-06-2023,"Romance, Comedy",Sameer Vidwans,146
Demons,2022,Hindi,10.43,Humara Movie,07-05-2022,Drama,Rohit Mittal,96
14 Phere,2021,Hindi,112.1123,Zee Studios,23-07-2021,"Romance, Comedy",Devanshu Singh,112
Crew,2024,Hindi,10.28,"Balaji Motion Pictures, Anil Kapoor Films Company",29-03-2024,"Comedy, Drama",Rajesh Krishnan,123
Sui Dhaaga - Made in India,2018,Hindi,8.3,Yash Raj Films,28-09-2018,"Comedy, Drama, Family",Sharat Katariya,150
Attack,2022,Hindi,3.51,"JA Entertainment, Pen Studios, Ajay Kapoor Productions",01-04-2022,"Action, Science Fiction, Thriller",Lakshya Raj Anand,123
Trapped,2017,Hindi,0.26,Indian Art Prod,17-03-2017,"Social, Thriller",M Bhavnani,105
Dear Maya,2017,Hindi,0.13,"Waves Cinemas, Bake My Cake Film Production",02-06-2017,Drama,Sunaina Bhatnagar,131
JugJugg Jeeyo,2022,Hindi,9.28,"Dharma Productions, Viacom 18 Motion Pictures",24-06-2022,"Comedy, Family",Raj Mehta,148
Chakki,2022,Hindi,0.02,"Natraj, Milcent, Haystar, and Mycrofine",07-10-2022,"Comedy, Drama",Satish Munda,138
Chandu Champion,2024,Hindi,4.25,"Nadiadwala Grandson Entertainment, Kabir Khan Films",14-06-2024,"Biographical, Sports",Kabir Khan,143
Band of Maharajas,2024,Hindi,4.7,Clapstem Entertainment,06-12-2024,"Drama, Music",Girish Malik,124
Gyanvapi Files: A Tailor's Murder Story,2025,Hindi,0.3,"Altair Media, Jani Firefox Films, Luciole Production",11-07-2025,"Crime, Drama",Bharat S Shrinate,123
Josef - Born in Grace,2019,Hindi,0.01,UA Kathachitra,11-01-2019,Drama,Susant Misra,100
Koi Jaane Na,2021,Hindi,0.5,"T-Series Super Cassettes Industries Ltd., Amin Hajee Film Company",02-04-2021,"Thriller, Suspense",Amin Hajee,141
Hindutva,2022,Hindi,0.4,Jaikara Films,07-10-2022,"Drama, Social",Karan Razdan,135
Nil Battey Sannata,2016,Hindi,0.32,"Eros International, Jar Pictures, Colour Yellow Production",22-04-2016,"Comedy, Drama",Ashwiny Iyer Tiwari,100
Vedaa,2024,Hindi,6.75,"Emmay Entertainment Pvt. Ltd, Zee Studios, JA Entertainment Pvt. Ltd.",15-08-2024,"Action, Drama",Nikkhil Advani,150
Mili,2022,Hindi,88.883,"Bayview Projects,Zee Studios",04-11-2022,"Musical, Romance",Hrishikesh Mukherjee,88
Yodha,2024,Hindi,4.25,"Dharma Productions, Mentor Disciple Entertainment",15-03-2024,Action,Rahul Rawail,131
All India Rank,2024,Hindi,0.35,Matchbox Shots,23-02-2024,"Comedy, Drama",Varun Grover,101
Kaamyaab,2020,Hindi,0.35,"Red Chillies Entertainment, Drishyam Films",06-03-2020,"Comedy, Drama",Hardik Mehta,109
Aasma,2025,Hindi,0.15,"Last Monk Media, Uberoi Line Productions, Plexus Films, Navnidhi Productions",10-02-2025,"Action, Crime, Drama, Thriller",Sudipto Sen,105
Ek Kori Prem Katha,2024,Hindi,0.04,"Kenilworth Film Productions, Sughand Films",05-04-2024,"Romance, Drama",Chinmay Purohit,129
Raaz Reboot,2016,Hindi,6.3,"Vishesh Films, T-Series Super Cassettes Industries Ltd.",16-09-2016,Horror,Vikram Bhatt,127
Maalik,2025,Hindi,4.02,Sunny Art Productions,11-07-2025,Drama,S M Yusuf,152
Gumraah,2023,Hindi,1.5,Dharma Productions,07-04-2023,"Drama, Action","Himanshu Brahmbhatt, Mahesh Bhatt, Gurudev Bhalla, Vijay Kumar",130
Raksha Bandhan,2022,Hindi,0.1,"Cape Of Good Films, Colour Yellow Productions, Zee Studios",11-08-2022,"Comedy, Drama, Family",Shantilal Soni,110
Brij Mohan Amar Rahe!,2017,Hindi,99.993,Yoodlee Films,13-12-2017,"Social, Drama",Nikhil Bhatt,99
The Bhootnii,2025,Hindi,0.65,Salman Khan Films,01-05-2025,Action,Salman Khan,0
Accident or Conspiracy: Godhra,2024,Hindi,0.5,"Om Trinetra Films, Artverse Studios",19-07-2024,"Crime, Drama",M.K. Shivaaksh,156
Coolie No. 1,2020,Hindi,0.74,Pooja Entertainment India Ltd.,25-12-2020,"Comedy, Romance","David Dhawan, K Raghavendra Rao",135
Ok Jaanu,2017,Hindi,4.08,"Dharma Productions, Fox Star Studios, Madras Talkies",13-01-2017,"Romance, Drama",Shaad Ali,137
Newton,2017,Hindi,0.96,Drishyam Films,22-09-2017,"Drama, Social",Amit Masurkar,106
Mrs. Chatterjee Vs Norway,2023,Hindi,1.27,"Emmay Entertainment Pvt. Ltd, Zee Studios",17-03-2023,"Biographical, Drama",Ashima Chibber,135
Lovefucked,2018,Hindi,105.1053,Humara Medialabs,13-10-2018,"Romance, Drama",Aadish Keluskar,105
Khuda Haafiz Chapter 2: Agni Pariksha,2022,Hindi,1.31,"Panorama Studios, Zee Studios, Action Hero Films",08-07-2022,"Drama, Action, Romance",Faruk Kabir,146
Love in Vietnam,2025,Hindi,0.06,"Blue Lotus Pictures, Zee Studios, Tariq Khan Production, Rahhat Shah Kazmi Films, Zebaish Entertainment, Mango Tree Entertainment",12-09-2025,"Romance, Drama",Rahhat Shah Kazmi,132
Indoo Ki Jawani,2020,Hindi,0.22,"T-Series Super Cassettes Industries Ltd., Emmay Entertainment Pvt. Ltd, Electric Apples Entertainment",11-12-2020,"Comedy, Romance",Abir Sengupta,118
Sarkar 3,2017,Hindi,2.1,"Alumbra Entertainment, Eros Entertainment, Waves Cinemas, A B Corp",12-05-2017,Drama,Ram Gopal Varma,132
7 Hours to Go,2016,Hindi,0.45,Krian Pictures,24-06-2016,"Action, Suspense, Thriller",Saurabh Varma,114
Junction Varanasi,2019,Hindi,0.01,Aryan Entertainment World,18-10-2019,Drama,Dheeraj Pandit,143
Baaghi 3,2020,Hindi,11.94,"Utv Motion Pictures, Nadiadwala Grandson Entertainment",29-04-2016,"Action, Romance",Sabbir Khan,139
Ajab Singh ki Gazab Kahani,2017,Hindi,0.04,Shree Triveni Films International,12-05-2017,Drama,Rishi Prakash Mishra,115
"Monica, O My Darling",2022,Hindi,129.1293,Matchbox Shots,11-11-2022,"Crime, Comedy, Drama, Mystery",Vasan Bala,129
Ek Villain Returns,2022,Hindi,7.05,"T-Series Super Cassettes Industries Ltd., Balaji Telefilms Ltd",29-07-2022,"Action, Thriller",Mohit Suri,128
Sab Kushal Mangal,2020,Hindi,0.15,One Up Entertainment,03-01-2020,"Drama, Action, Comedy, Crime",Karan Kashyap,134
Zara Hatke Zara Bachke,2023,Hindi,5.49,"Maddock Films, Jio Studios",02-06-2023,"Romance, Comedy",Laxman Utekar,132
Kisi Ka Bhai... Kisi Ki Jaan,2023,Hindi,15.81,Salman Khan Films,21-04-2023,"Action, Comedy",Farhad Samji,144
Yudhra,2024,Hindi,4.52,Excel Entertainment,20-09-2024,"Thriller, Action",Ravi Udyawar,141
Romeo Akbar Walter,2019,Hindi,5.35,"Viacom 18 Motion Pictures, Red Ice Productions, KYTA Productions, VA Film Company",05-04-2019,"Action, Drama, Patriotic, Thriller",Robby Grewal,141
Gunjan Saxena: The Kargil Girl,2020,Hindi,1.1,"Dharma Productions, Zee Studios",12-08-2020,"Biographical, Drama, Patriotic",Sharan Sharma,110
Munjya,2024,Hindi,4.21,Maddock Films,07-06-2024,"Horror, Comedy",Aditya Sarpotdar,123
Srikanth,2024,Hindi,2.41,"T-Series Super Cassettes Industries Ltd., Chalk N Cheese Films Production LLP",10-05-2024,"Biographical, Drama",Tushar Hiranandani,134
Rocky Handsome,2016,Hindi,5.39,"J.A. Entertainment, Azure Entertainment",24-03-2016,Action,Nishikant Kamat,126
