Title,Year,Language
Tu Meri Main Tera Main Tera Tu Meri,2025,Hindi
Yaatris,2023,Hindi
Tribhanga,2021,Hindi
Yours Truly,2019,Hindi
Dear Dad,2016,Hindi
October,2018,Hindi
Mahavatar Narsimha,2025,Hindi
Bheed,2023,Hindi
Nawabzaade,2018,Hindi
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi
Tigers,2018,Hindi
Love Day - Pyaar Ka Din,2016,Hindi
Kapoor & Sons,2016,Hindi
Tu Hai Mera Sunday,2017,Hindi
Stree 2,2024,Hindi
Tumko Meri Kasam,2025,Hindi
Coffee with D,2017,Hindi
Merry Christmas,2024,Hindi
Inspector Zende,2025,Hindi
Logout,2025,Hindi
Once Again,2018,Hindi
Sergeant,2023,Hindi
Ajmer 92,2023,Hindi
Mitron,2018,Hindi
Saina,2021,Hindi
Game Over,2017,Hindi
Kedarnath,2018,Hindi
The Kashmir Files,2022,Hindi
Emergency,2025,Hindi
3 Storeys,2018,Hindi
Tiger Zinda Hai,2017,Hindi
Blurr,2022,Hindi
Badla,2019,Hindi
Luv Ki Arrange Marriage,2024,Hindi
Metro... In Dino,2025,Hindi
Trahimam,2022,Hindi
OK Mein Dhokhe,2016,Hindi
102 Not Out,2018,Hindi
Commando 3,2019,Hindi
Evening Shadows,2019,Hindi
Noor,2017,Hindi
Do Aur Do Pyaar,2024,Hindi
Bekhudi,2021,Hindi
Lakadbaggha,2023,Hindi
Baar Baar Dekho,2016,Hindi
MSG: The Warrior Lion Heart,2016,Hindi
Radhe,2021,Hindi
Love You Family,2017,Hindi
Single Salma,2025,Hindi
5 Weddings,2018,Hindi
Mere Husband Ki Biwi,2025,Hindi
I Want to Talk,2024,Hindi
Bharat,2019,Hindi
Sultan,2016,Hindi
My Melbourne,2025,Hindi
Parched,2016,Hindi
Pal Pal Dil Ke Paas,2019,Hindi
Ram Setu,2022,Hindi
Haseena Parkar,2017,Hindi
Chhorii,2021,Hindi
Mrs.,2025,Hindi
Chhichhore,2019,Hindi
Raees,2017,Hindi
Machaan,2021,Hindi
Ittefaq,2017,Hindi
Sardar Ka Grandson,2021,Hindi
Do Patti,2024,Hindi
Main Atal Hoon,2024,Hindi
Jersey,2022,Hindi
B.A. Pass 3,2021,Hindi
The Window,2017,Hindi
Mardaani 2,2019,Hindi
Operation Romeo,2022,Hindi
