Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
Chal Pichchur Banate Hain,2012,Hindi,"Drama, Comedy",,117,,Pritish Chakraborty,"Rahil Tandon, Bhavna Ruparel, Sandeep Sachdev",07-09-2012,UA
Ada... A Way of Life,2010,Hindi,"Action, Crime, Drama",Ahmad World Studios,121,,Tanvir Ahmad,"Ayaan Ahmad, Nauheed Cyrusi, Ayesha Jhulka",24-12-2010,UA
2.O,2018,Hindi,Romance,,80,,Jeong Jin-ho,"Kang Jae-yi, Park Hyun-jung, Lee Kang-woo",,
Bhagam Bhag,2006,Hindi,"Comedy, Thriller, Romance","Shree Ashtavinayak Cine Vision, Popcorn Motion Pictures",157,"59,37,68,500",Priyadarshan,"Akshay Kumar, Govinda, Paresh Rawal",22-12-2006,U
Jodhaa Akbar,2008,Hindi,"Romance, History, Drama","UTV Motion Pictures, Ashutosh Gowariker Productions",213,"48,43,00,000",Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan, Sonu Sood",15-02-2008,UA
Gunday,2014,Hindi,"Action, Crime, Drama",Yash Raj Films,152,,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor, Priyanka Chopra Jonas",14-02-2014,UA
Revolver Rani,2014,Hindi,"Action, Crime, Comedy","Crouching Tiger Motion Pictures, Wave Cinemas Ponty Chadha",132,,Sai Kabir,"Kangana Ranaut, Vir Das, Zeishan Quadri",25-04-2014,UA
8 A.M. Metro,2023,Hindi,Drama,"Platoon One Films, Studio 99",116,,Raj Rachakonda,"Saiyami Kher, Gulshan Devaiah, Nimisha Nair",19-05-2023,U
Kaun Kitney Paani Mein,2015,Hindi,"Drama, Comedy, Family",,0,,Nila Madhab Panda,"Kunal Kapoor, Radhika Apte, Saurabh Shukla",28-08-2015,N/A
Mirza Juuliet,2017,Hindi,Drama,,130,,Rajesh Ram Singh,"Darshan Kumaar, Pia Bajpiee, Priyanshu Chatterjee",07-04-2017,N/A
Kadak Singh,2023,Hindi,"Drama, Thriller",,136,,Aniruddha Roy Chowdhury,"Pankaj Tripathi, Sanjana Sanghi, Parvathy Thiruvothu",,
JD,2017,Hindi,Drama,,127,,Shailendra Pandey,"Rina Charaniya, Arvind Gaur, Jasveer Kaur",22-09-2017,N/A
Thank You for Coming,2023,Hindi,"Comedy, Drama","Balaji Motion Pictures, Anil Kapoor Film & Communication Network",117,,Karan Boolani,"Bhumi Pednekar, Dolly Singh, Shibani Bedi",06-10-2023,N/A
PM Narendra Modi,2019,Hindi,"Drama, History","Anand Pandit Motion Pictures, Legend Global Studio",135,,Omung Kumar,"Vivek Oberoi, Barkha Bisht, Zarina Wahab",24-05-2019,U
Bachke Rehna Re Baba,2005,Hindi,"Drama, Comedy, Romance",,130,,Govind Menon,"Rekha, Mallika Sherawat, Paresh Rawal",,
Deewane Huye Paagal,2005,Hindi,"Comedy, Drama, Romance",Base Industries Group,150,,Vikram Bhatt,"Akshay Kumar, Shahid Kapoor, Rimi Sen",25-11-2005,U
NH10,2015,Hindi,"Crime, Action, Adventure, Thriller","Eros International, Phantom Films, Clean Slate Films",115,"1,67,00,000",Navdeep Singh,"Anushka Sharma, Neil Bhoopalam, Deepti Naval",13-03-2015,A
Shiva,2006,Hindi,"Drama, Action, Thriller",RGV Film Factory,119,,Ram Gopal Varma,"Mohit Ahlawat , Vinod Jaywant, Priyanka Kothari",15-09-2006,A
Raees,2017,Hindi,"Thriller, Action, Crime","Red Chillies Entertainment, Excel Entertainment",143,"3,84,10,00,000",Rahul Dholakia,"Shah Rukh Khan, Mahira Khan, Nawazuddin Siddiqui",25-01-2017,UA
Aankh Micholi,2023,Hindi,"Comedy, Family","Sony Pictures Films India, Merry Go Round Studios",0,,Umesh Shukla,"Mrunal Thakur, Abhimanyu Dasani, Sharman Joshi",03-11-2023,N/A
Yea Toh Two Much Ho Gayaa,2016,Hindi,"Drama, Action, Comedy",,126,,Anwer Khan,"Jimmy Shergill, Pooja Chopra, Arbaaz Khan",02-09-2016,UA
Vodka Diaries,2018,Hindi,"Mystery, Thriller","Vishalraj Films & Production, K'Scope Entertainment Pvt Ltd",112,,Kushal Srivastava,"Kay Kay Menon, Raima Sen, Mandira Bedi",19-01-2018,UA
Tezaab â The Acid of Love[11],2005,Hindi,,,,,,,,
Kuchh Kariye,2010,Hindi,"Adventure, Drama, Music",,0,,Jagbir Dahiya,"Shriya Saran, Suresh Chatwal, Dinesh Hingoo",23-03-2010,N/A
Double XL,2022,Hindi,"Comedy, Drama","T-Series, Wakaoo Films, Reclining Seats Cinema Production, Elemen3 Entertainment",0,,Satramm Ramani,"Sonakshi Sinha, Huma Qureshi, Zaheer Iqbal",04-11-2022,N/A
David,2013,Hindi,"Action, Crime, Drama, Romance, Comedy","Getaway Films Private Limited, Reliance Entertainment",155,,Bejoy Nambiar,"Neil Nitin Mukesh, Vikram, Vinay Virmani",01-02-2013,UA
7 Hours To Go,2016,Hindi,"Crime, Action, Thriller",Krian Media,115,,Saurabh Varma,"Shiv Panditt, Sandeepa Dhar, Nataša Stanković",24-06-2016,UA
Yeh Khula Aasmaan,2012,Hindi,,,0,,,,25-05-2012,N/A
Lamhaa,2010,Hindi,"Action, Thriller",,115,,Rahul Dholakia,"Sanjay Dutt, Bipasha Basu, Kunal Kapoor",16-07-2010,A
Isi Life Mein...!,2010,Hindi,"Drama, Family",,138,,Vidhi Kasliwal,"Akash Bhatija, Samaira Rao, Suyesha Sawant",24-12-2010,N/A
Sitam[10],2005,Hindi,,,,,,,,
Black Friday,2007,Hindi,"Thriller, TV Movie, Crime, Drama",Larry Levinson Productions,90,"6,26,25,000",Arthur Allan Seidelman,"Amy Carlson, Judd Nelson, Thomas Ian Griffith",,
Munna Michael,2017,Hindi,"Music, Action","Next Gen Films, Eros International, Next Gen Films",139,,Sabbir Khan,"Tiger Shroff, Nawazuddin Siddiqui, Ronit Roy",21-07-2017,UA
Rokkk,2010,Hindi,"Thriller, Horror, Mystery","Ikkon Films, Sumeet Arts",116,,Rajesh Ranshinge,"Tanushree Dutta, Sachin Khedekar, Udita Goswami",05-03-2010,UA
Kahin Hai Mera Pyar,2014,Hindi,"Drama, Music, Romance",,138,,Mahesh Vaijnath Doijode,"Gajendra Chouhan, Sanjay Kapoor, Jackie Shroff",01-05-2014,N/A
Hichki,2018,Hindi,"Drama, Comedy",Yash Raj Films,116,"16,70,00,000",Siddharth P. Malhotra,"Rani Mukerji, Neeraj Kabi, Rohit Saraf",23-03-2018,N/A
Soch Lo,2010,Hindi,"Action, Mystery, Thriller",,0,,,,27-09-2010,N/A
Chala Mussaddi... Office Office,2011,Hindi,"Drama, Comedy",,100,,,"Deven Bhojani, Manoj Pahwa, Sanjay Mishra",05-08-2011,N/A
Lucky: No Time for Love,2005,Hindi,"Drama, Romance",Sohail Khan Production,180,,Radhika Rao,"Salman Khan, Sneha Ullal, Mithun Chakraborty",08-04-2005,U
Mera Fauji Calling,2021,Hindi,,,,,,,,
Lust Stories,2018,Hindi,"Drama, Romance","RSVP Movies, Flying Unicorn Entertainment, Tiger Baby",120,,Karan Johar,"Kiara Advani, Radhika Apte, Akash Thosar",,
Bodyguard,2011,Hindi,"Drama, Action, Romance","Reel Life Productions, Reliance Entertainment, Funky Buddha Productions",134,,Siddique,"Salman Khan, Kareena Kapoor Khan, Hazel Keech",31-08-2011,UA
Bumboo,2012,Hindi,Comedy,,126,,Jagdish Rajpurohit,"Kavin Dave, Mandy Takhar, Sanjay Mishra",30-03-2012,N/A
Satya Sai Baba,2021,Hindi,,,,,,,,
Aashiqui 2,2013,Hindi,"Drama, Romance","T-Series, Vishesh Films",132,"10,85,50,000",Mohit Suri,"Aditya Roy Kapur, Shraddha Kapoor, Shaad Randhawa",26-04-2013,U
"Saheb, Biwi Aur Gangster",2011,Hindi,"Drama, Action, Thriller, Crime, Romance","Brandsmith Motion Pictures, Tigmanshu Dhulia Films",119,,Tigmanshu Dhulia,"Jimmy Shergill, Mahie Gill, Randeep Hooda",23-09-2011,N/A
Radhe Shyam[a],2022,Hindi,"Drama, Romance","UV Creations, T-Series, MSK Films",138,,Radha Krishna Kumar,"Prabhas, Pooja Hegde, Sachin Khedekar",11-03-2022,UA
Race 3,2018,Hindi,"Thriller, Action, Crime, Adventure","Salman Khan Films, Tips Industries",160,,Remo D'Souza,"Salman Khan, Anil Kapoor, Bobby Deol",15-06-2018,UA
Nil Battey Sannata,2016,Hindi,"Drama, Family","Colour Yellow Productions, Jar Pictures, Opticus, Sandman Pictures",100,,Ashwiny Iyer Tiwari,"Swara Bhasker, Ratna Pathak Shah, Pankaj Tripathi",22-04-2016,N/A
Chup: Revenge of the Artist,2022,Hindi,"Crime, Thriller",Hope Productions,130,,R. Balki,"Dulquer Salmaan, Shreya Dhanwanthary, Sunny Deol",23-09-2022,A
Uri: The Surgical Strike,2019,Hindi,"Action, Drama, War",RSVP Movies,138,,Aditya Dhar,"Vicky Kaushal, Paresh Rawal, Yami Gautam",11-01-2019,UA
One by Two,2014,Hindi,"Comedy, Drama, Romance",Viacom18 Studios,139,,Devika Bhagat,"Abhay Deol, Preeti Desai, Tahir Raj Bhasin",31-01-2014,UA
Commando 2,2017,Hindi,"Action, Thriller","Sunshine Pictures, Pen India Limited",123,,Deven Bhojani,"Vidyut Jammwal, Adah Sharma, Freddy Daruwala",02-03-2017,UA
Sarkar Raj,2008,Hindi,"Action, Adventure, Crime, Drama","K Sera Sera Limited, Z Picture Company, Balaji Motion Pictures",125,"6,84,70,000",Ram Gopal Varma,"Amitabh Bachchan, Abhishek Bachchan, Aishwarya Rai Bachchan",06-06-2008,UA
Khiladi 786,2012,Hindi,"Action, Comedy",Hari Om Entertainment,139,,Ashish R. Mohan,"Akshay Kumar, Asin Thottumkal, Himesh Reshammiya",,
Love Ka Tadka[12],2009,Hindi,,,,,,,,
CityLights,2014,Hindi,"Thriller, Drama",Vishesh Films,126,"7,01,40,000",Hansal Mehta,"Rajkummar Rao, Manav Kaul, Pramod Pathak",30-05-2014,UA
Badrinath Ki Dulhania,2017,Hindi,"Drama, Comedy, Romance",Dharma Productions,139,,Shashank Khaitan,"Varun Dhawan, Alia Bhatt, Shweta Basu Prasad",10-03-2017,UA
Mumbai Mirror,2013,Hindi,"Action, Crime, Thriller",,136,,Ankush Bhatt,"Sachiin Joshi, Prakash Raj, Vimala Raman",18-01-2013,N/A
Ghazi,2017,Hindi,"Action, War, Thriller, History","Matinee Entertainment, PVP Cinema",126,"15,86,50,000",Sankalp Reddy,"Kay Kay Menon, Rana Daggubati, Atul Kulkarni",17-02-2017,UA
"Shahrukh Bola ""Khoobsurat Hai Tu""",2010,Hindi,"Comedy, Drama",RSB Films,89,,Makrand Deshpande,"Afzaal Khan, Preetika Chawla, Makrand Deshpande",19-11-2010,U
Mother Teresa & Me,2023,Hindi,,,,,,,,
Loveyatri,2018,Hindi,"Drama, Romance, Comedy, Music",Salman Khan Films,140,,Abhiraj Minawala,"Aayush Sharma, Warina Hussain, Kamil Lemieszewski",05-10-2018,UA
Sixteen,2013,Hindi,Thriller,Seize Films,80,,Rob Brown,"Roger Jean Nsengiyumva, Rachael Stirling, Fady Elsayed",,
Pyaar Ka Punchnama,2011,Hindi,"Drama, Comedy, Romance",,149,"11,69,00,000",Luv Ranjan,"Kartik Aaryan, Raayo S. Bakhirta, Divyendu Sharma",20-05-2011,N/A
Chashme Baddoor,2013,Hindi,"Comedy, Drama",Viacom18 Studios,120,"3,08,95,00,000",David Dhawan,"Ali Zafar, Taapsee Pannu, Siddharth",05-04-2013,N/A
Wah Taj,2016,Hindi,"Comedy, Drama",Pun Films Pvt. Ltd SpyderWave Films,125,,Ajit Sinha,"Shreyas Talpade, Manjari Fadnnis, Hemant Pandey",23-09-2016,U
Via Darjeeling,2008,Hindi,"Thriller, Drama, Mystery","Moxie Entertainments Private, National Film Development Corporation of India",104,,Arindam Nandy,"Kay Kay Menon, Sonali Kulkarni, Parvin Dabas",21-11-2008,N/A
Khap,2011,Hindi,Drama,,0,,,,01-08-2011,MA
Pusher,2010,Hindi,"Action, Crime, Drama","Vertigo Films, Embargo Films",107,,Assad Raja,"Assad Raja, Pasha Bocarie, Mahima Chaudhry",,
Badmashiyaan,2015,Hindi,"Comedy, Romance",,128,,Amit Khanna,"Sidhant Gupta, Gunjan Malhotra, Suzanna Mukherjee",06-03-2015,N/A
Kucch Luv Jaisaa,2011,Hindi,"Drama, Crime",,102,,Barnali Ray Shukla,"Rahul Bose, Shefali Shah, Neetu Chandra",27-05-2011,N/A
Crazy Cukkad Family,2015,Hindi,Comedy,Prakash Jha Productions,0,,Ritesh Menon,"Swanand Kirkire, Shilpa Shukla, Kushal Punjabi",15-01-2015,N/A
Notebook,2019,Hindi,"Romance, Drama","Salman Khan Films, Cine1 Studios",115,,Nitin Kakkar,"Pranutan Bahl, Zaheer Iqbal, Farhana Bhat",29-03-2019,U
Super 30,2019,Hindi,Drama,"Phantom Films, Nadiadwala Grandson Entertainment, Reliance Entertainment, HRX Films",153,,Vikas Bahl,"Hrithik Roshan, Mrunal Thakur, Veerendra Saxena",12-07-2019,U
Begum Jaan,2017,Hindi,"Action, Drama, History","Vishesh Films, Play Entertainment, SVF Entertainment",128,,Srijit Mukherji,"Vidya Balan, Naseeruddin Shah, Ridheema Tiwari",14-04-2017,A
Bullet: Ek Dhamaka,2005,Hindi,"Action, Drama",Diana S. Films,137,,Irfan Khan,"Saayli Buva, Natalya Gudkova, Iqbal Khan",05-02-2005,UA
Mod,2011,Hindi,"Romance, Drama",,136,,B. V. Nandini Reddy,"Nani, Nithya Menen, Rohini",21-01-2011,U
Action Replayy,2010,Hindi,"Comedy, Romance, Science Fiction","Hari Om Entertainment, Blockbuster Movie Entertainers, PVR Inox Pictures",100,"83,50,00,000",Vipul Amrutlal Shah,"Akshay Kumar, Aishwarya Rai Bachchan, Aditya Roy Kapur",05-11-2010,UA
Kabir Singh,2019,Hindi,"Drama, Romance","Cine1 Studios, T-Series",172,"73,07,08,500",Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Arjan Bajwa",21-06-2019,A
Manjunath,2014,Hindi,Drama,,0,,Sandeep A. Verma,"Anjori Alagh, Seema Biswas, Divya Dutta",09-05-2014,N/A
Why Cheat India,2019,Hindi,"Drama, Crime","Ellipsis Entertainment, Emraan Hashmi Films, T-Series",121,,Soumik Sen,"Emraan Hashmi, Shreya Dhanwanthary, Ammar Taalwala",18-01-2019,UA
Patel Ki Punjabi Shaadi,2017,Hindi,Comedy,,120,,,"Paresh Rawal, Rishi Kapoor, Payal Ghosh",15-09-2017,N/A
Chehraa,2005,Hindi,"Drama, Thriller",Khwaish Movies,136,,Saurabh Shukla,"Bipasha Basu, Dino Morea, Preeti Jhangiani",18-02-2005,UA
Hello,2008,Hindi,Comedy,"Funky Buddha Media, Mirah Entertainment, Perception Pictures, Reel Life Productions",129,,Atul Agnihotri,"Sharman Joshi, Sohail Khan, Isha Koppikar",10-10-2008,UA
Barfi!,2012,Hindi,"Drama, Romance, Comedy","Ishana Movies, UTV Motion Pictures",151,"37,05,31,918",Anurag Basu,"Ranbir Kapoor, Priyanka Chopra Jonas, Ileana D'Cruz",14-09-2012,U
12th Fail,2023,Hindi,Drama,"Vidhu Vinod Chopra Productions, Zee Studios, KRG Studios",146,"20,04,00,000",Vidhu Vinod Chopra,"Vikrant Massey, Medha Shankr, Anant Joshi",27-10-2023,N/A
Bhanwarey,2017,Hindi,Comedy,,120,,Shaurya Singh,"Shaurya Singh, Karhan Dev, Jashan Singh",24-03-2017,N/A
Nail Polish,2021,Hindi,"Crime, Thriller, Drama",Ten Years Younger Productions,128,,Bugs Bhargava Krishna,"Arjun Rampal, Manav Kaul, Madhoo",,
Lafangey Parindey,2010,Hindi,"Action, Drama, Romance",Yash Raj Films,126,"37,57,50,000",Pradeep Sarkar,"Neil Nitin Mukesh, Deepika Padukone, Kay Kay Menon",20-08-2010,UA
Woh Lamhe...,2006,Hindi,"Drama, Romance",Vishesh Films,132,,Mohit Suri,"Kangana Ranaut, Shiney Ahuja, Shaad Randhawa",26-09-2006,A
Rangrezz,2013,Hindi,"Action, Drama",Pooja Entertainment,143,,Priyadarshan,"Jacky Bhagnani, Priya Anand, Rajpal Yadav",21-03-2013,UA
Ek Kahani Julie Ki,2016,Hindi,"Crime, Drama, Thriller",,140,,Aziz Zee,"Rakhi Sawant, Amit Mehra, Jimmy Sharma",09-09-2016,N/A
Daas Dev,2018,Hindi,"Thriller, Drama","Saptrishi Cinevision, Storm Motion Pictures",160,,Sudhir Mishra,"Rahul Bhat, Aditi Rao Hydari, Richa Chadha",23-03-2018,UA
Pal Pal Dil Ke Paas,2019,Hindi,Romance,"Sunny Sounds, Vijayta Films, Zee Studios",144,,Sunny Deol,"Karan Deol, Sahher Bambba, Simone Singh",20-09-2019,N/A
Machine,2017,Hindi,"Action, Romance, Comedy",Abbas Mustan Film Productions Pvt Ltd,148,"32,16,24,048",Abbas Alibhai Burmawalla,"Mustafa Burmawala, Kiara Advani, Rishabh Arora",17-03-2017,N/A
Chaalis Chauraasi,2012,Hindi,"Crime, Drama, Thriller",,115,,Hriday Shetty,"Naseeruddin Shah, Kay Kay Menon, Atul Kulkarni",13-01-2012,N/A
UT69,2023,Hindi,Drama,"SVS Studio, The Bigger Picture",140,,Shanawaz Ali,"Raj Kundra, Kumar Saurabh, Gaurav Mishra",03-11-2023,N/A
Mr. Bhatti on Chutti,2012,Hindi,,,0,,,"Bhairavi Goswami, Shakti Kapoor, Amaan Irees",18-05-2012,N/A
Dhoom 2,2006,Hindi,"Drama, Action, Thriller, Crime","Yash Raj Films, Dhoom Studios",151,"91,85,00,000",Sanjay Gadhvi,"Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan",24-11-2006,UA
Hichki,2018,Hindi,"Drama, Comedy",Yash Raj Films,116,"16,70,00,000",Siddharth P. Malhotra,"Rani Mukerji, Neeraj Kabi, Rohit Saraf",23-03-2018,N/A
Gulmohar,2023,Hindi,"Drama, Comedy",Satyajit Ray Film & Television Institute,20,"3,34,000",Digvijay Andhorikar,"Amol Nikhare, Sangeita Inamdar-Kulkarni, Mrinmoyee Biswas",,
Music Teacher,2019,Hindi,,,,,,,,
Do Ajnabee,2023,Hindi,,,89,,Sanjeev Kumar rajput,"Arya Babbar, Aman Verma, Anu Mitra",24-11-2023,N/A
Garam Masala,2005,Hindi,Comedy,Venus Records & Tapes,142,,Priyadarshan,"Akshay Kumar, John Abraham, Paresh Rawal",,
EMI - Liya Hai Toh Chukana Parega,2008,Hindi,,,,,,,,
Don 2,2011,Hindi,"Action, Thriller","Excel Entertainment, Red Chillies Entertainment, Landmark Productions, Pixion Studio",139,"91,85,00,000",Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra Jonas, Boman Irani",23-12-2011,UA
Utthaan,2006,Hindi,,,134,,Ujjal Chatterjee,"Priyanshu Chatterjee, Neha Dhupia, Sana Khaan",13-10-2006,N/A
Riyasat,2014,Hindi,Crime,,80,,Ashok Tyagi,"Rajesh Khanna, Raza Murad, Vishwajeet Pradhan",18-07-2014,N/A
Panchlait,2017,Hindi,Drama,,120,"26,35,260",Prem Prakash Modi,"Nayna Bandhopadhyay, Brijendra Kala, Rajesh Sharma",17-11-2017,N/A
Horror Story,2013,Hindi,Horror,ASA Production & Enterprises,91,,Ayush Raina,"Aparnaa Bajpai, Ravish Desai, Karan Kundra",13-09-2013,U
Shaadi Karke Phas Gaya Yaar,2006,Hindi,Drama,Karishma International,152,,K. S. Adiyaman,"Salman Khan, Shilpa Shetty Kundra, Reema Lagoo",04-08-2006,U
Happy Husbands,2011,Hindi,Comedy,,134,,Jaiveer,Kurush Deboo,25-03-2011,N/A
Dishoom,2016,Hindi,"Comedy, Action","Nadiadwala Grandson Entertainment, Eros International",120,,Rohit Dhawan,"John Abraham, Varun Dhawan, Akshaye Khanna",29-07-2016,UA
Koi Jaane Na,2021,Hindi,"Thriller, Mystery","T-Series, Amin Hajee Film Company",141,,Amin Hajee,"Kunal Kapoor, Amyra Dastur, Karim Hajee",02-04-2021,UA
Bhavesh Joshi Superhero,2018,Hindi,"Action, Drama",Phantom Films,155,,Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Dhritiman Chatterjee",01-06-2018,UA
Mumbai Can Dance Saala,2015,Hindi,,,,,,,,
Deewana Main Deewana,2013,Hindi,"Comedy, Romance, Thriller",,107,,K. C. Bokadia,"Govinda, Priyanka Chopra Jonas, Prem Chopra",01-02-2013,N/A
Blank,2019,Hindi,Drama,"Invictus Film, Odense Filmværksted",17,,David Silset,"Ingrid-Marie Thorlacius Troelsen, Peter Schlie Hansen, Niklas Herskind",,
Paan Singh Tomar,2012,Hindi,"Crime, Drama","UTV Motion Pictures, UTV Spotboy Motion Pictures",135,,Tigmanshu Dhulia,"Irrfan Khan, Mahie Gill, Vipin Sharma",02-03-2012,N/A
Mittal v/s Mittal,2010,Hindi,Drama,Shaila Films Productions,135,,Karan Razdan,"Rohit Roy, Rituparna Sengupta, Gulshan Grover",26-03-2010,UA
Jhund,2022,Hindi,Drama,"T-Series, Tandav Films Entertainment, Aatpat Production",178,,Nagraj Popatrao Manjule,"Amitabh Bachchan, Ankush Gedam, Rinku Rajguru",04-03-2022,UA
Bluffmaster!,2005,Hindi,"Drama, Comedy, Romance","Sahara One Entertainment, Ramesh Sippy Entertainment",137,"15,22,33,192",Rohan Sippy,"Abhishek Bachchan, Riteish Deshmukh, Priyanka Chopra Jonas",16-12-2005,UA
Sau Jhooth Ek Sach,2005,Hindi,Thriller,,0,,Bappaditya Bandopadhyay,"Mammootty, Vikram Gokhale, Lillete Dubey",16-09-2005,U
Total Dhamaal,2019,Hindi,"Comedy, Adventure","Anand Pandit Motion Pictures, Fox Star Studios, Maruti International, Shri Adhikari Brothers, Reliance Entertainment, Ajay Devgn FFilms",127,,Indra Kumar,"Ajay Devgn, Riteish Deshmukh, Arshad Warsi",22-02-2019,U
Saare Jahaan Se Mehnga,2013,Hindi,"Comedy, Drama",,120,,Anshul Sharma,"Sanjay Mishra, Zakir Hussain, Disha Pandey",08-03-2013,U
I See You,2006,Hindi,"Romance, Drama","Chasing Ganesha Films, K Sera Sera Limited",122,,Vivek B Agrawal,"Arjun Rampal, Vipasha Agarwal, Boman Irani",29-12-2006,U
Aggar,2007,Hindi,"Drama, Romance, Thriller",Siddhi Vinayak Creations,125,,Ananth Narayan Mahadevan,"Tusshar Kapoor, Udita Goswami, Shreyas Talpade",14-09-2007,N/A
Chhoriyan Chhoron Se Kam Nahi Hoti,2019,Hindi,"Action, Drama",Zee Studios,114,,Rajesh Babbar,"Annirudh Dave, Rashmi Singh Somvanshi, Sapna Choudhary",17-05-2019,U
Queen,2014,Hindi,"Comedy, Drama","Phantom Films, Viacom18 Studios",146,"15,86,50,000",Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon",07-03-2014,U
Kajarya,2015,Hindi,Drama,"STAR FIRE MOVIES, Ekaa Films Pvt. Ltd",132,,Madhureeta Anand,"Sumeet Vyas, Ridhima Sud, Manoj Bakshi",04-12-2015,A
Ajay Wardhan,2022,Hindi,,,122,"3,03,94,000",Pragati Agarwal,"Romil Chaudhary, Priya Sharma, Ruslaan Mumtaz",16-12-2022,N/A
Bal Ganesh,2007,Hindi,"Animation, Family",,106,,Panjak Sharma,"Kailash Kher, Asha Bhosle",,
Kuchh Meetha Ho Jaye,2005,Hindi,"Drama, Comedy, Romance",Shemaroo Entertainment,130,,Samar Khan,"Arshad Warsi, Mahima Chaudhry, Parvin Dabas",15-04-2005,U
Jaane Hoga Kya,2006,Hindi,"Action, Romance, Science Fiction, Thriller",,0,,Ankush Glen,"Bipasha Basu, Preeti Jhangiani, Rahul Dev",31-08-2006,N/A
Anjaana Anjaani,2010,Hindi,"Comedy, Drama, Romance","Curbside Films, Eros Worldwide, Nadiadwala Grandson Entertainment",151,"53,44,00,000",Siddharth Anand,"Priyanka Chopra Jonas, Ranbir Kapoor, Zayed Khan",01-10-2010,UA
Shabri,2011,Hindi,"Crime, Drama, Action",Reliance Entertainment,129,,Lalit Marathe,"Isha Koppikar, Zakir Hussain, Pradeep Ram Singh Rawat",08-11-2011,UA
Bombay Talkies,2013,Hindi,"Drama, Romance",Viacom18 Studios,127,"91,85,00,000",Zoya Akhtar,"Rani Mukerji, Randeep Hooda, Saqib Saleem",03-05-2013,UA
Raabta,2017,Hindi,"Romance, Thriller","Maddock Films, Illuminati Films Pvt Ltd",147,,Dinesh Vijan,"Sushant Singh Rajput, Kriti Sanon, Jim Sarbh",08-06-2017,UA
Omkara,2006,Hindi,"Crime, Drama","Big Screen Entertainment, Shemaroo Entertainment, Eros International",155,,Vishal Bhardwaj,"Ajay Devgn, Saif Ali Khan, Kareena Kapoor Khan",28-07-2006,A
Khandaani Shafakhana,2019,Hindi,"Comedy, Drama",,136,,Shilpi Dasgupta,"Sonakshi Sinha, Varun Sharma, Annu Kapoor",02-08-2019,UA
Fox,2009,Hindi,"Action, Thriller",Tijori Entertainment,0,,Deepak Tijori,"Sunny Deol, Arjun Rampal, Sagarika Ghatge",04-09-2009,N/A
Honeymoon Travels Pvt. Ltd.,2007,Hindi,"Comedy, Drama, Romance",Excel Entertainment,118,"11,69,00,000",Reema Kagti,"Shabana Azmi, Boman Irani, Ameesha Patel",23-02-2007,UA
Ahaan,2021,Hindi,"Comedy, Drama",Will Finds Way Films,81,,Nikhil Pherwani,"Arif Zakaria, Niharika Singh, Abuli Mamaji",19-03-2021,N/A
36 China Town,2006,Hindi,"Comedy, Thriller",Mukta Arts Ltd,140,,Mustan Alibhai Burmawalla,"Akshaye Khanna, Shahid Kapoor, Kareena Kapoor Khan",21-04-2006,UA
"Saheb, Biwi Aur Gangster Returns",2013,Hindi,"Thriller, Drama, Action, Crime","Tigmanshu Dhulia Films, Brandsmith Motion Pictures, Select Media Holdings- Moving Pictures",139,,Tigmanshu Dhulia,"Irrfan Khan, Jimmy Shergill, Soha Ali Khan",08-03-2013,A
Bollywood Diaries,2016,Hindi,Drama,"Eagle Eye Entertainment, Rehab Pictures Private Limited",123,,K. D. Satyam,"Raima Sen, Salim Diwan, Ashish Vidhyarthi",26-02-2016,N/A
Meeruthiya Gangster,2015,Hindi,"Crime, Comedy",Friday To Friday Entertainers,129,,Zeishan Quadri,"Aakash Dahiya, Jatin Sarna, Jaideep Ahlawat",18-09-2015,UA
Rabba Main Kya Karoon,2013,Hindi,Comedy,,0,,Amrit Sagar Chopra,"Arshad Warsi, Paresh Rawal, Shakti Kapoor",02-08-2013,N/A
3 Storeys,2018,Hindi,Drama,"B4U Television Network, Excel Entertainment",100,,Arjun Mukerjee,"Pulkit Samrat, Richa Chadha, Sharman Joshi",09-03-2018,N/A
Fanaa,2006,Hindi,"Action, Drama, Romance, Thriller",Yash Raj Films,168,"44,25,50,000",Kunal Kohli,"Aamir Khan, Kajol, Rishi Kapoor",,
"Gandhi, My Father",2007,Hindi,"Drama, History",Anil Kapoor Film & Communication Network,136,,Feroz Abbas Khan,"Akshaye Khanna, Darshan Jariwala, Bhumika Chawla",03-08-2007,N/A
Cash,2021,Hindi,"Comedy, Drama",Va Va Voom,119,,Rishab Seth,"Amol Parashar, Smriti Kalra, Kavin Dave",,
Sona Spa,2013,Hindi,Drama,,102,,Makrand Deshpande,"Naseeruddin Shah, Aahana Kumra, Shruti Vyas",22-03-2013,A
Yeh Jawaani Hai Deewani,2013,Hindi,"Romance, Comedy","Dharma Productions, UTV Motion Pictures, Eros International",160,"64,29,50,000",Ayan Mukerji,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur",31-05-2013,UA
