Title,Year,Language,Genre,Production Company,Runtime (mins),Budget (INR),Director,Lead Cast,Release Date (India),MPAA Rating
Baadshaho,2017,Hindi,"Action, Thriller","Vertex Motion Pictures, T-Series",136,"1,02,70,50,000",Milan Luthria,"Ajay Devgn, Ileana D'Cruz, Emraan Hashmi",01-09-2017,UA
Halkaa,2018,Hindi,Drama,Akshay Parija Productions,114,,Nila Madhab Panda,"Paoli Dam, Vipin Katyal, Ranvir Shorey",07-09-2018,N/A
Fredrick,2016,Hindi,"Action, Thriller",,129,,Rajesh Butalia,"Prashant Narayanan, Avinash Dhyani, Tulna Butalia",27-05-2016,N/A
Thackeray,2019,Hindi,"Drama, History","Viacom18 Studios, Rauters Entertainment, Carnival Motion Pictures",139,,Abhijit Panse,"Nawazuddin Siddiqui, Amrita Rao, Sudhir Mishra",25-01-2019,UA
Socha Na Tha,2005,Hindi,"Drama, Comedy, Romance",Vijayta Films,145,"12,52,50,000",Imtiaz Ali,"Abhay Deol, Ayesha Takia, Suresh Oberoi",04-03-2005,U
Yaaram,2019,Hindi,,Yashvvi Films,110,,Ovais Khan,"Siddhanth Kapoor, Prateik Smita Patil, Anita Raj",18-10-2019,U
The Film Emotional Atyachar,2010,Hindi,"Thriller, Comedy",,0,"5,54,23,376",Akshay Shere,"Nassar Abdulla, Mohit Ahlawat, Snehal Dabi",03-09-2010,N/A
Yaariyan,2014,Hindi,"Drama, Romance",T-Series,145,835,Divya Khossla,"Himansh Kohli, Nicole Faria, Gulshan Grover",10-01-2014,N/A
Bombairiya,2019,Hindi,"Comedy, Crime, Drama","Beautiful Bay Entertainment, Kreo Films",108,,Pia Sukanya,"Radhika Apte, Akshay Oberoi, Ravi Kishan",11-01-2019,UA
Parched,2016,Hindi,Drama,,5,,Raven Krogstad,"Victoria Clare, Christopher lee lopez",,
Waarrior Savitri,2016,Hindi,"Thriller, Action",,120,,Param Gill,"Om Puri, Lucy Pinder, Gulshan Grover",22-07-2016,N/A
Help,2010,Hindi,"Drama, Horror, Thriller",,110,,Rajeev Virani,"Bobby Deol, Mugdha Godse, Sophia Handa",13-08-2010,N/A
1971,2007,Hindi,"Action, War, Drama","Sagar Pictures Entertainment, Viacom18 Studios",160,,Amrit Sagar Chopra,"Manoj Bajpayee, Ravi Kishan, Sunil Chavan",08-03-2007,Everyone
Desi Boyz,2011,Hindi,"Comedy, Drama","Eros International, Next Gen Films",122,,Rohit Dhawan,"Akshay Kumar, John Abraham, Deepika Padukone",25-11-2011,A
My Friend Pinto,2011,Hindi,Comedy,"Bhansali Productions, UTV Motion Pictures, Prime Focus",115,,Raaghav Dar,"Prateik Smita Patil, Kalki Koechlin, Arjun Mathur",14-10-2011,N/A
Angel,2011,Hindi,,,70,,Sebastiano d'Ayala Valva,,,
Love in Bombay,2013,Hindi,,,0,,Joy Mukherjee,"Joy Mukherjee, Waheeda Rehman, Zeenat Aman",02-08-2013,UA
De Dana Dan,2009,Hindi,"Comedy, Crime","Venus Records & Tapes, Eros Worldwide",166,"66,80,00,000",Priyadarshan,"Akshay Kumar, Suniel Shetty, Katrina Kaif",27-11-2009,UA
Vaada Raha,2009,Hindi,Drama,Top Angle Productions,105,,Samir Karnik,"Bobby Deol, Kangana Ranaut, Dwij Yadav",11-09-2009,U
Mujib: The Making of a Nation,2023,Hindi,"Drama, History, War","Bangladesh Film Development Corporation, National Film Development Corporation of India",176,"66,80,00,000",Shyam Benegal,"Arifin Shuvo, Nusrat Imrose Tisha, Nusraat Faria Mazhar",27-10-2023,N/A
Chance Pe Dance,2010,Hindi,"Music, Romance, Drama",UTV Motion Pictures,121,,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza, Satish Shah",15-01-2010,U
Union Leader,2018,Hindi,,,,,,,,
Maan Gaye Mughal-e-Azam,2008,Hindi,,Venus Records & Tapes,137,,Sanjay Chel,"Rahul Bose, Paresh Rawal, Mallika Sherawat",21-08-2008,U
Jazbaa,2015,Hindi,"Thriller, Action",White Feather Films,119,,Sanjay Gupta,"Aishwarya Rai Bachchan, Irrfan Khan, Shabana Azmi",09-10-2015,N/A
Anjaana Anjaani,2010,Hindi,"Comedy, Drama, Romance","Curbside Films, Eros Worldwide, Nadiadwala Grandson Entertainment",151,"53,44,00,000",Siddharth Anand,"Priyanka Chopra Jonas, Ranbir Kapoor, Zayed Khan",01-10-2010,UA
Rashmi Rocket,2021,Hindi,Drama,"RSVP Movies, Mango People Media",129,,Akarsh Khurana,"Taapsee Pannu, Priyanshu Painyuli, Abhishek Banerjee",,
The Great Leader Kanshiram,2017,Hindi,,,0,,Arjun Singh,,10-02-2017,N/A
Love Hostel,2022,Hindi,"Crime, Romance, Thriller","Red Chillies Entertainment, Drishyam Films, Reflection Pictures Studio",101,,Shanker Raman,"Vikrant Massey, Sanya Malhotra, Bobby Deol",,
Dabangg,2010,Hindi,"Action, Comedy, Crime","Arbaaz Khan Productions, Shree Ashtavinayak Cine Vision",130,"78,23,95,000",Abhinav Kashyap,"Salman Khan, Sonakshi Sinha, Arbaaz Khan",10-09-2010,UA
Ghost,2012,Hindi,Horror,,0,,Puja Bedi,"Shiney Ahuja, Sayali Bhagat, Rahul Roy",13-01-2012,N/A
Mitron,2018,Hindi,"Romance, Comedy, Family",Abundantia Entertainment,116,,Nitin Kakkar,"Jacky Bhagnani, Kritika Kamra, Prateik Smita Patil",,
Shahid,2013,Hindi,"Drama, Crime","Anurag Kashyap Films, Bohra Bros Productions, Paramhans Creations",129,"8,09,95,000",Hansal Mehta,"Rajkummar Rao, Kay Kay Menon, Tigmanshu Dhulia",18-10-2013,N/A
Hunterrr,2015,Hindi,"Drama, Romance","A Tailormade Films, Phantom Films",141,,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar",20-03-2015,A
Apaharan,2005,Hindi,"Action, Crime, Drama",,173,,Prakash Jha,"Ajay Devgn, Nana Patekar, Bipasha Basu",02-12-2005,N/A
Fan,2016,Hindi,"Action, Adventure, Thriller","Red Chillies Entertainment, Yash Raj Films, Prime Focus",138,"1,06,46,25,000",Maneesh Sharma,"Shah Rukh Khan, Deepika Amin, Yogendra Tiku",14-04-2016,UA
Rock On!!,2008,Hindi,Drama,"Excel Entertainment, Reliance Entertainment",144,"58,45,00,000",Abhishek Kapoor,"Farhan Akhtar, Arjun Rampal, Purab Kohli",29-08-2008,U
Manmarziyaan,2018,Hindi,"Romance, Drama","Phantom Films, Colour Yellow Productions, Eros International",155,,Anurag Kashyap,"Taapsee Pannu, Abhishek Bachchan, Vicky Kaushal",21-09-2018,UA
Shaabash! You Can Do It[13],2009,Hindi,,,,,,,,
Singham,2011,Hindi,"Drama, Action, Crime",Reliance Entertainment,143,"40,08,00,000",Rohit Shetty,"Ajay Devgn, Kajal Aggarwal, Prakash Raj",22-07-2011,UA
Station,2014,Hindi,"Crime, Drama, Thriller",Sumit Ghosh Media,103,,Saad Khan,"Sameer Kevin Roy, K. S. Siddhanth, Hardik Sha",28-03-2014,N/A
Force 2,2016,Hindi,"Action, Adventure, Crime","JA Entertainment, Sunshine Pictures, Viacom18 Studios",123,"54,27,50,000",Abhinay Deo,"John Abraham, Sonakshi Sinha, Raj Babbar",18-11-2016,UA
Miss Tanakpur Haazir Ho,2015,Hindi,,,0,,Vinod Kapri,"Rahul Bagga, Hrishitaa Bhatt, Annu Kapoor",26-06-2015,A
I Hate Luv Storys,2010,Hindi,"Comedy, Drama, Romance","Dharma Productions, UTV Motion Pictures",129,"36,74,00,000",Punit Malhotra,"Imran Khan, Sonam Kapoor Ahuja, Sammir Dattani",02-07-2010,UA
Ek Ladki Ko Dekha Toh Aisa Laga,2019,Hindi,"Romance, Drama","Vidhu Vinod Chopra Productions, Rajkumar Hirani Films, Fox Star Studios",121,,Shelly Chopra Dhar,"Sonam Kapoor Ahuja, Anil Kapoor, Juhi Chawla Mehta",01-02-2019,UA
Mere Dad Ki Maruti,2013,Hindi,Comedy,Y-Films,101,,Ashima Chibber,"Saqib Saleem, Rhea Chakraborty, Ram Kapoor",15-03-2013,PG
Chintu Ji,2009,Hindi,"Comedy, Drama",,115,,Ranjit Kapoor,"Rishi Kapoor, Priyanshu Chatterjee, Kulraj Randhawa",04-09-2009,U
Namastey London,2007,Hindi,"Comedy, Drama, Romance","Blockbuster Movie Entertainers, Ultra Media & Entertainment [IN], Namastey London Productions Limited, Eros International",131,,Vipul Amrutlal Shah,"Akshay Kumar, Katrina Kaif, Rishi Kapoor",23-03-2007,UA
Chopsticks,2019,Hindi,"Comedy, Animation, Thriller",Compute Company,1,,,Jimmy Xiang,,
D Day,2013,Hindi,"Action, Thriller","DAR Motion Pictures, Emmay Entertainment",153,"32,56,50,000",Nikkhil Advani,"Irrfan Khan, Arjun Rampal, Rishi Kapoor",19-07-2013,UA
Chase,2010,Hindi,"Action, Crime, Drama",,0,,Jag Mundhra,"Anuj Saxena, Udita Goswami, Tarina Patel",30-04-2010,N/A
Hazaaron Khwaishein Aisi,2005,Hindi,,,,,,,,
Chicken Curry Law,2019,Hindi,"Crime, Thriller, Drama",Panorama Studios,127,,Shekhar Sirrinn,"Nivedita Bhattacharya, Ashutosh Rana, Makrand Deshpande",09-08-2019,A
Jai Veeru,2009,Hindi,"Action, Adventure, Crime, Thriller",Siddhi Vinayak Movies,160,,Puneet Sira,"Kunal Khemu, Fardeen Khan, Dia Mirza",13-03-2009,UA
Golmaal Again,2017,Hindi,"Comedy, Horror, Action, Fantasy","Reliance Entertainment, Rohit Shetty Productionz, Ajay Devgn FFilms",151,"70,14,00,000",Rohit Shetty,"Ajay Devgn, Arshad Warsi, Tusshar Kapoor",20-10-2017,UA
Irada,2017,Hindi,Thriller,,109,,Aparna Singh,"Arshad Warsi, Naseeruddin Shah, Sharad Kelkar",17-02-2017,UA
Jo Bole So Nihaal,2005,Hindi,"Action, Comedy",,127,,Rahul Rawail,"Sunny Deol, Shillpi Sharma, Kamaal Khan",13-05-2005,N/A
Fever,2016,Hindi,"Mystery, Crime",,105,,Rajeev Jhaveri,"Rajeev Khandelwal, Gauahar Khan, Gemma Atkinson",05-08-2016,N/A
99,2009,Hindi,"Comedy, Crime",People Pictures,141,"25,05,00,000",Krishna D.K.,"Kunal Khemu, Boman Irani, Soha Ali Khan",15-05-2009,N/A
Operation Mayfair,2023,Hindi,"Crime, Thriller",,116,,Sudipto Sarkar,"Jimmy Shergill, Vedieka Dutt, Ankur Bhatia",24-03-2023,A
Once Upon ay Time in Mumbai Dobaara!,2013,Hindi,,,,,,,,
Baaghi 2,2018,Hindi,"Action, Crime, Adventure, Mystery, Thriller","Benetone Films, Fox Star Studios, Nadiadwala Grandson Entertainment",145,,Ahmed Khan,"Tiger Shroff, Disha Patani, Manoj Bajpayee",30-03-2018,UA
Shree,2013,Hindi,,,0,,Rajesh Bachchani,"Hussain Kuwajerwala, Paresh Ganatra, Anjali Patil",26-04-2013,U
Chak De! India,2007,Hindi,Drama,"Yash Raj Films, Film Victoria",148,"52,60,50,000",Shimit Amin,"Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge",10-08-2007,U
Laal Rang,2016,Hindi,"Comedy, Crime, Drama, Thriller",Krian Media,147,,Syed Ahmad Afzal,"Randeep Hooda, Pia Bajpiee, Rajneesh Duggal",22-04-2016,UA
Munna Mange Memsaab,2014,Hindi,,,145,,Shareeph Mansuri Saranawala,"Omkar Das Manikpuri, Razak Khan, Jordiya Anna",11-07-2014,N/A
Laal Singh Chaddha,2022,Hindi,"Drama, Romance, Family, History","Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",164,"1,92,05,00,000",Advait Chandan,"Aamir Khan, Kareena Kapoor Khan, Naga Chaitanya Akkineni",11-08-2022,UA
Challo Driver,2012,Hindi,"Romance, Comedy",,95,,,"Kainaz Motivala, Vickrant Mahajan, Prem Chopra",20-07-2012,N/A
Jeena Hai Toh Thok Daal,2012,Hindi,Drama,,123,,Manish Vatsalya,"Ravi Kishan, Manish Vatsalya, Hazel Crowney",14-09-2012,N/A
Bhaiaji Superhit,2018,Hindi,"Action, Thriller, Comedy",Daily Multimedia Limited,139,,Neeraj Pathak,"Sunny Deol, Preity Zinta, Arshad Warsi",23-11-2018,UA
Nazar Andaaz,2022,Hindi,"Comedy, Drama","T-Series, Kathputli Creations",103,,Vikrant Deshmukh,"Kumud Mishra, Divya Dutta, Abhishek Banerjee",07-10-2022,N/A
Bang Bang!,2014,Hindi,"Action, Adventure, Comedy, Romance, Thriller","Fox Star Studios, Benetone Films, Fox International Productions India, Milk & Honey Pictures",153,,Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Danny Denzongpa",02-10-2014,UA
Ferrari Ki Sawaari,2012,Hindi,"Family, Comedy",Vidhu Vinod Chopra Productions,140,,Rajesh Mapuskar,"Sharman Joshi, Ritwik Sahore, Boman Irani",15-06-2012,N/A
Kacchey Limbu,2023,Hindi,,,,,,,,
Kyaa Kool Hai Hum,2005,Hindi,Comedy,,172,,Sangeeth Sivan,"Tusshar Kapoor, Riteish Deshmukh, Isha Koppikar",,
India's Most Wanted,2019,Hindi,"Action, Thriller","Fox Star Studios, Raapchik Films",123,,Raj Kumar Gupta,"Arjun Kapoor, Rajesh Sharma, Gaurav Mishra",24-05-2019,UA
Kissebaaz,2019,Hindi,Drama,"Experion Moviez, PVR Inox Pictures",123,,Annant Jaaitpaal,"Pankaj Tripathi, Rahul Bagga, Anupriya Goenka",14-06-2019,UA
Tiku Weds Sheru,2023,Hindi,"Comedy, Drama, Family",Manikarnika Films,111,,Sai Kabir,"Nawazuddin Siddiqui, Avneet Kaur, Akshat Jain",,
Dhamaka,2021,Hindi,"Thriller, Drama, Crime","RSVP Movies, Ram Madhvani Films, Globalgate Entertainment, Lotte Entertainment, Lotte Cultureworks",104,,Ram Madhvani,"Kartik Aaryan, Amruta Subhash, Mrunal Thakur",,
Souten: The Other Woman,2006,Hindi,Thriller,,180,,Karan Razdan,"Mahima Chaudhry, Padmini Kolhapure, Kiran Rathod",24-03-2006,N/A
Shivaay,2016,Hindi,"Adventure, Action, Drama, Thriller","NH Studioz, Pen India Limited, Eros International, Ajay Devgn FFilms",153,,Ajay Devgn,"Ajay Devgn, Abigail Eames, Erika Kaar",28-10-2016,UA
Jackpot,2013,Hindi,"Comedy, Thriller",Viiking Media & Entertainment,132,,Kaizad Gustad,"Makrand Deshpande, Sachiin Joshi, Sunny Leone",13-12-2013,A
Players,2012,Hindi,"Action, Adventure, Crime, Thriller, Drama","Viacom18 Studios, Burmawala Partners, Globus-film, Prime Focus",163,,Abbas Alibhai Burmawalla,"Abhishek Bachchan, Sonam Kapoor Ahuja, Bobby Deol",06-01-2012,UA
Gattu,2012,Hindi,,,,,,,,
Padmashree Laloo Prasad Yadav,2005,Hindi,,,0,,Mahesh Manjrekar,"Suniel Shetty, Masumeh Makhija, Anupama Verma",28-01-2005,N/A
