Title,Year,Language,Run_Time_mins,Genre
Mirza Juuliet,2017,Hindi,,
Kadak Singh,2023,Hindi,,
JD,2017,Hindi,,
Thank You for Coming,2023,Hindi,,
PM Narendra Modi,2019,Hindi,,
Bachke Rehna Re Baba,2005,Hindi,,
Deewane Huye Paagal,2005,Hindi,,
NH10,2015,Hindi,,
Shiva,2006,Hindi,,
Raees,2017,Hindi,,
Aankh Micholi,2023,Hindi,,
Yea Toh Two Much Ho Gayaa,2016,Hindi,,
Vodka Diaries,2018,Hindi,,
Tezaab â The Acid of Love[11],2005,Hindi,,
Kuchh Kariye,2010,Hindi,,
Double XL,2022,Hindi,,
David,2013,Hindi,,
7 Hours To Go,2016,Hindi,,
Yeh Khula Aasmaan,2012,Hindi,,
Lamhaa,2010,Hindi,,
Isi Life Mein...!,2010,Hindi,,
Sitam[10],2005,Hindi,,
Black Friday,2007,Hindi,,
Munna Michael,2017,Hindi,,
Rokkk,2010,Hindi,,
Kahin Hai Mera Pyar,2014,Hindi,,
Hichki,2018,Hindi,,
Soch Lo,2010,Hindi,,
Chala Mussaddi... Office Office,2011,Hindi,,
Lucky: No Time for Love,2005,Hindi,,
Mera Fauji Calling,2021,Hindi,,
Lust Stories,2018,Hindi,,
Bodyguard,2011,Hindi,,
Bumboo,2012,Hindi,,
Satya Sai Baba,2021,Hindi,,
Aashiqui 2,2013,Hindi,,
"Saheb, Biwi Aur Gangster",2011,Hindi,,
Radhe Shyam[a],2022,Hindi,,
Race 3,2018,Hindi,160,Action
Nil Battey Sannata,2016,Hindi,,
Chup: Revenge of the Artist,2022,Hindi,,
Uri: The Surgical Strike,2019,Hindi,,
One by Two,2014,Hindi,,
Commando 2,2017,Hindi,,
Sarkar Raj,2008,Hindi,,
Khiladi 786,2012,Hindi,,
Love Ka Tadka[12],2009,Hindi,,
CityLights,2014,Hindi,,
Badrinath Ki Dulhania,2017,Hindi,,
Mumbai Mirror,2013,Hindi,,
Ghazi,2017,Hindi,,
"Shahrukh Bola ""Khoobsurat Hai Tu""",2010,Hindi,,
Mother Teresa & Me,2023,Hindi,,
Loveyatri,2018,Hindi,,
Sixteen,2013,Hindi,,
Pyaar Ka Punchnama,2011,Hindi,,
Chashme Baddoor,2013,Hindi,,
Wah Taj,2016,Hindi,,
Via Darjeeling,2008,Hindi,,
Khap,2011,Hindi,,
Pusher,2010,Hindi,,
Badmashiyaan,2015,Hindi,,
Kucch Luv Jaisaa,2011,Hindi,,
Crazy Cukkad Family,2015,Hindi,,
Notebook,2019,Hindi,,
Super 30,2019,Hindi,,
Begum Jaan,2017,Hindi,,
Bullet: Ek Dhamaka,2005,Hindi,,
Mod,2011,Hindi,,
Action Replayy,2010,Hindi,,
Kabir Singh,2019,Hindi,,
Manjunath,2014,Hindi,,
Why Cheat India,2019,Hindi,,
Patel Ki Punjabi Shaadi,2017,Hindi,,
Chehraa,2005,Hindi,,
Hello,2008,Hindi,,
Barfi!,2012,Hindi,,
12th Fail,2023,Hindi,,
Bhanwarey,2017,Hindi,,
Nail Polish,2021,Hindi,,
Lafangey Parindey,2010,Hindi,,
Woh Lamhe...,2006,Hindi,,
Rangrezz,2013,Hindi,,
Ek Kahani Julie Ki,2016,Hindi,,
Daas Dev,2018,Hindi,,
Pal Pal Dil Ke Paas,2019,Hindi,,
Machine,2017,Hindi,,
Chaalis Chauraasi,2012,Hindi,,
UT69,2023,Hindi,,
Mr. Bhatti on Chutti,2012,Hindi,,
Dhoom 2,2006,Hindi,,
Hichki,2018,Hindi,,
Gulmohar,2023,Hindi,,
Music Teacher,2019,Hindi,,
Do Ajnabee,2023,Hindi,,
Garam Masala,2005,Hindi,,
EMI - Liya Hai Toh Chukana Parega,2008,Hindi,,
Don 2,2011,Hindi,,
Utthaan,2006,Hindi,,
Riyasat,2014,Hindi,,
Panchlait,2017,Hindi,,
Horror Story,2013,Hindi,,
Shaadi Karke Phas Gaya Yaar,2006,Hindi,,
Happy Husbands,2011,Hindi,,
Dishoom,2016,Hindi,,
Koi Jaane Na,2021,Hindi,,
Bhavesh Joshi Superhero,2018,Hindi,,
Mumbai Can Dance Saala,2015,Hindi,,
Deewana Main Deewana,2013,Hindi,,
Blank,2019,Hindi,,
Paan Singh Tomar,2012,Hindi,,
Mittal v/s Mittal,2010,Hindi,,
Jhund,2022,Hindi,,
Bluffmaster!,2005,Hindi,,
Sau Jhooth Ek Sach,2005,Hindi,,
Total Dhamaal,2019,Hindi,,
Saare Jahaan Se Mehnga,2013,Hindi,,
I See You,2006,Hindi,,
Aggar,2007,Hindi,,
Chhoriyan Chhoron Se Kam Nahi Hoti,2019,Hindi,,
Queen,2014,Hindi,,
Kajarya,2015,Hindi,,
Ajay Wardhan,2022,Hindi,,
Bal Ganesh,2007,Hindi,,
Kuchh Meetha Ho Jaye,2005,Hindi,,
Jaane Hoga Kya,2006,Hindi,,
Anjaana Anjaani,2010,Hindi,151,"Comedy,Drama,Musical"
Shabri,2011,Hindi,,
Bombay Talkies,2013,Hindi,,
Raabta,2017,Hindi,,
Omkara,2006,Hindi,,
Khandaani Shafakhana,2019,Hindi,,
Fox,2009,Hindi,,
Honeymoon Travels Pvt. Ltd.,2007,Hindi,,
Ahaan,2021,Hindi,,
36 China Town,2006,Hindi,,
"Saheb, Biwi Aur Gangster Returns",2013,Hindi,,
Bollywood Diaries,2016,Hindi,,
Meeruthiya Gangster,2015,Hindi,,
Rabba Main Kya Karoon,2013,Hindi,,
3 Storeys,2018,Hindi,,
Fanaa,2006,Hindi,,
"Gandhi, My Father",2007,Hindi,,
Cash,2021,Hindi,,
Sona Spa,2013,Hindi,,
Yeh Jawaani Hai Deewani,2013,Hindi,,
Bawri Chhori,2021,Hindi,,
Waiting,2015,Hindi,,
Ship of Theseus,2013,Hindi,,
Kal Kissne Dekha,2009,Hindi,,
Goodbye,2022,Hindi,,
High Jack,2018,Hindi,,
Golmaal Returns,2008,Hindi,,
Ishqedarriyaan,2015,Hindi,,
Horn 'Ok' Pleassss,2009,Hindi,,
Tanu Weds Manu,2011,Hindi,,
Water,2007,Hindi,,
Koyelaanchal,2014,Hindi,,
Great Grand Masti,2016,Hindi,,
Son Of Sardaar,2012,Hindi,,
Jaane Tu... Ya Jaane Na,2008,Hindi,,
Bombay Rose,2021,Hindi,,
Wanted,2009,Hindi,,
Sardar Ka Grandson,2021,Hindi,,
Gang of Ghosts,2014,Hindi,,
Singh Saab The Great,2013,Hindi,,
Dream Girl,2019,Hindi,,
Murari the Mad Gentleman,2016,Hindi,,
Partner,2007,Hindi,,
Jalwa - Fun in Love[6],2005,Hindi,,
Tadap,2021,Hindi,,
The Lady Killer,2023,Hindi,,
Sadda Adda,2012,Hindi,,
RK/RKay,2022,Hindi,,
Dansh,2005,Hindi,,
Jalsa,2022,Hindi,,
Gehraiyaan,2022,Hindi,,
Life is Beautiful!,2014,Hindi,,
Tango Charlie,2005,Hindi,,
Tadap,2021,Hindi,,
Bird Idol,2010,Hindi,,
Badnaam Gali,2019,Hindi,,
Aalaap,2012,Hindi,,
Chingaari,2006,Hindi,,
Deshdrohi,2008,Hindi,,
Jhootha Hi Sahi,2010,Hindi,,
Housefull,2010,Hindi,144,Comedy
Utt Pataang,2011,Hindi,,
Toilet: Ek Prem Katha,2017,Hindi,,
Bansuri: The Flute,2021,Hindi,,
Family of Thakurganj,2019,Hindi,,
Heroes,2008,Hindi,,
Luv Ka The End,2011,Hindi,,
Jo Hum Chahein,2011,Hindi,,
Apna Asmaan,2007,Hindi,,
M Cream,2016,Hindi,,
Phata Poster Nikhla Hero,2013,Hindi,,
Ki & Ka,2016,Hindi,,
Dharm,2007,Hindi,,
Nasha,2013,Hindi,,
Super K â The Movie,2011,Hindi,,
Victory,2009,Hindi,,
Bloody Daddy,2023,Hindi,,
Tu Jhoothi Main Makkaar,2023,Hindi,,
Hisss,2010,Hindi,,
Tathastu,2006,Hindi,,
Trapped,2017,Hindi,,
Shaadi No. 1,2005,Hindi,,
Life in a... Metro,2007,Hindi,,
Ajji,2017,Hindi,,
Tees Maar Khan,2010,Hindi,,
72 Hoorain,2023,Hindi,,
Golmaal 3,2010,Hindi,,
Haseen Dillruba,2021,Hindi,,
Benny and Babloo,2010,Hindi,,
Billu Barber,2009,Hindi,,
Nishabd,2007,Hindi,,
Running Shaadi,2017,Hindi,,
Rolling Dream,2015,Hindi,,
Rakta Charitra 2,2010,Hindi,,
Marjaavaan,2019,Hindi,,
I Am Kalam,2011,Hindi,,
Beyond the Clouds,2018,Hindi,,
Barfi!,2012,Hindi,,
Love Ke Funday,2016,Hindi,,
Don Muthu Swami,2008,Hindi,,
Total Siyapaa,2014,Hindi,,
Margarita with a Straw,2015,Hindi,,
Gandhi to Hitler,2011,Hindi,,
Pyaar Ka Punchnama 2,2015,Hindi,,
Sam Bahadur,2023,Hindi,,
Zed Plus,2014,Hindi,,
Blood Money,2012,Hindi,,
Ankahi Kahaniya,2021,Hindi,,
My Wife's Murder,2005,Hindi,,
A Flying Jatt,2016,Hindi,,
Firaaq,2009,Hindi,,
Rebellious Flower,2016,Hindi,,
Dhara 302,2016,Hindi,,
Chargesheet,2011,Hindi,,
Mere Khwabon Mein Jo Aaye,2009,Hindi,,
Kaafila,2007,Hindi,,
Sweetiee Weds NRI,2017,Hindi,,
Trial Period,2023,Hindi,,
Eight: The Power of Shani[2],2006,Hindi,,
Dangerous Ishq,2012,Hindi,,
"Monica, O My Darling",2022,Hindi,,
Talvar,2015,Hindi,,
Krrish 3,2013,Hindi,,
Khuda Haafiz: Chapter 2 â Agni Pariksha,2022,Hindi,,
Omerta,2018,Hindi,,
Pinky Beauty Parlour,2023,Hindi,,
Mere Jeevan Saathi,2006,Hindi,,
Ishqiya,2010,Hindi,,
Unns...Means Love,2006,Hindi,,
Don 2,2011,Hindi,,
Wedding Anniversary,2017,Hindi,,
Sankat City,2009,Hindi,,
Nawabzaade,2018,Hindi,,
Shaandaar,2015,Hindi,,
Kuttey,2023,Hindi,,
Lust Stories 2,2023,Hindi,,
Mubarakan,2017,Hindi,,
Chauhar,2017,Hindi,,
A Decent Arrangement,2014,Hindi,,
Love In Ukraine,2022,Hindi,,
Mantostaan,2017,Hindi,,
Sergeant,2023,Hindi,,
Gully Boy,2019,Hindi,,
From Sydney with Love,2012,Hindi,,
Love Ke Chakkar Mein,2006,Hindi,,
Bhediya,2022,Hindi,,
Dabangg 3,2019,Hindi,160,"Action,Comedy,Crime"
Jumbo,2008,Hindi,,
Love per Square Foot,2018,Hindi,,
My Brother... Nikhil,2005,Hindi,,
Anthony Kaun Hai?,2006,Hindi,,
Race,2008,Hindi,,
Made in China,2019,Hindi,,
Hind Ka Napak Ko Jawab: MSG Lion Heart 2,2017,Hindi,,
Hindi Medium,2017,Hindi,,
Main Krishna Hoon,2013,Hindi,,
Naam Shabana,2017,Hindi,,
Jayeshbhai Jordaar,2022,Hindi,,
Naam Gum Jaayega,2005,Hindi,,
Diwangi Ne Had Kar Di,2010,Hindi,,
International Hero,2015,Hindi,,
Taj Mahal: An Eternal Love Story,2005,Hindi,,
That Girl in Yellow Boots,2011,Hindi,,
Happy Phirr Bhag Jayegi,2018,Hindi,,
Room â The Mystery,2014,Hindi,,
Chain Kulii Ki Main Kulii,2007,Hindi,,
Life Mein Twist Hai,2014,Hindi,,
Teraa Surroor,2016,Hindi,,
Chandigarh Kare Aashiqui,2021,Hindi,,
Bhagwan Bharose,2023,Hindi,,
Dil Dosti Etc,2007,Hindi,,
Hello Zindagi,2010,Hindi,,
Mirzya,2016,Hindi,,
James,2005,Hindi,,
Tiger 3,2023,Hindi,,
Saala Khadoos,2016,Hindi,,
October,2018,Hindi,,
Tubelight,2017,Hindi,,
Red: The Dark Side,2007,Hindi,,
Jodi Breakers,2012,Hindi,,
Rabia & Olivia,2023,Hindi,,
Malaal,2019,Hindi,,
Satyagraha,2013,Hindi,,
Sheesha,2005,Hindi,,
IB71,2023,Hindi,,
Dhoom 3,2013,Hindi,,
Antim: The Final Truth,2021,Hindi,,
Zoo,2018,Hindi,,
Chhatriwali,2023,Hindi,,
Kahaani,2012,Hindi,,
Jaane Kyun De Yaaron,2018,Hindi,,
Zila Ghaziabad,2013,Hindi,,
Sons of Ram,2012,Hindi,,
Ramaiya Vastavaiya,2013,Hindi,,
Straight,2009,Hindi,,
Pyare Mohan,2006,Hindi,,
The Purvanchal Files,2023,Hindi,,
Om Shanti Om,2007,Hindi,,
What's Your Raashee?,2009,Hindi,,
Grand Masti,2013,Hindi,,
Barsaat,2005,Hindi,,
Gadar 2,2023,Hindi,,
Second Hand Husband,2015,Hindi,,
Siya,2022,Hindi,,
